Food_Id,Food_Item,Restaurant_Id,Calories,Total_Fat_g,Carbohydrates_g,Protein_g
1,Barqs Root Beer,1,220,0,61,0
2,Capri Sun 100 Apple Juice,1,80,0,20,0
3,Cherry Coke,1,200,0,56,0
4,Coca Cola Classic,1,190,0,51,0
5,Coke ICEE,1,110,0,30,0
6,Diet Coke,1,0,0,0,0
7,Dr. Pepper,1,190,0,51,0
8,Fanta Orange,1,210,0,56,0
9,Frozen Coke,1,110,0,31,0
10,Frozen Fanta Cherry ICEE,1,110,0,31,0
11,Frozen Lemonade,1,120,0,32,0
12,Frozen SURGE Large,1,120,0,32,0
13,Frozen SURGE Medium,1,100,0,27,0
14,Frozen SURGE Small,1,80,0,22,0
15,HiC Fruit Punch,1,200,0,55,0
16,Minute Maid Light Lemonade,1,10,0,1,0
17,Peach Tea,1,100,0,23,0
18,Sprite,1,190,0,51,0
19,Sweet Tea,1,120,0,35,0
20,Unsweetened Tea,1,0,0,0,0
21,Vault,1,210,0,56,0
22,Iced Coffee Caramel,1,170,7,23,0
23,Iced Coffee Regular,1,160,7,19,0
24,Iced Coffee Vanilla,1,180,7,24,0
25,Seattles Best CoffeeDecaf,1,0,0,0,0
26,Seattles Best CoffeeRegular,1,0,0,0,0
27,Blue Raspberry ICEE,1,120,0,32,0
28,Barbecue Dipping Sauce 1 oz,1,40,0,11,0
29,Breakfast Syrup 1 oz,1,120,0,30,0
30,Buffalo Dipping Sauce 1 oz,1,80,8,2,0
31,Honey Mustard Dipping Sauce 1 oz,1,90,6,8,0
32,Kens Apple Cider Vinaigrette,1,210,18,10,0
33,Kens Lite Honey Balsamic,1,120,7,14,0
34,Ketchup,1,10,0,3,0
35,Mayonnaise,1,80,9,1,0
36,Pickles 2,1,0,0,0,0
37,Strawberry or Grape Jam packet,1,30,0,7,0
38,SunGlow Butter blend2 pats,1,70,8,0,0
39,Zesty Onion Ring Dipping Sauce 1 oz,1,150,15,3,0
40,BK Fresh Apple Slices,1,25,0,6,0
41,Motts Harvest Plus Applesauce,1,50,0,13,0
42,Red White  Blue Cookie,1,160,6,23,1
43,Dried Fruit Topping,1,90,0,23,1
44,Garlic Parmesan Croutons,1,60,2,9,1
45,Kens Avocado Ranch Dressing,1,170,17,4,1
46,KENS Honey Mustard Dressing 2 oz,1,270,23,15,1
47,Ranch Dipping Sauce 1 oz,1,140,15,1,1
48,Onion Rings Value,1,150,8,19,1
49,Frosted Frozen Coke,1,190,2,45,2
50,Frosted Frozen Lemonade,1,180,2,42,2
51,Minute Maid Orange Juice,1,140,0,33,2
52,Strawberry Banana Smoothie,1,310,1,73,2
53,Hash Browns Small,1,250,16,24,2
54,Latte Mocha,1,210,4,42,2
55,Butter Sugar Cookie,1,160,7,22,2
56,Carnival Cookie,1,160,7,22,2
57,Dutch Apple Pie,1,320,14,46,2
58,Ginger Spice Cookie,1,150,5,25,2
59,American Cheese slice,1,45,4,1,2
60,Kens Citrus Caesar Dressing,1,180,18,4,2
61,French Fries Value,1,240,10,34,2
62,Satisfries French Fries Value,1,190,8,28,2
63,Hot Chocolate,1,230,3,52,3
64,Tropical Mango Smoothie,1,330,1,78,3
65,French Toast Sticks 3 Piece,1,230,11,29,3
66,Latte Caramel,1,320,6,66,3
67,Latte Regular,1,180,6,31,3
