Restaurant,Food_Item,Calories,Total_Fat_g,Carbohydrates_g,Protein_g
Burger King,Barqs Root Beer,220,0,61,0
Burger King,Capri Sun 100 Apple Juice,80,0,20,0
Burger King,Cherry Coke,200,0,56,0
Burger King,Coca Cola Classic,190,0,51,0
Burger King,Coke ICEE,110,0,30,0
Burger King,Diet Coke,0,0,0,0
Burger King,Dr. Pepper,190,0,51,0
Burger King,Fanta Orange,210,0,56,0
Burger King,Frozen Coke,110,0,31,0
Burger King,Frozen Fanta Cherry ICEE,110,0,31,0
Burger King,Frozen Lemonade,120,0,32,0
Burger King,Frozen SURGE Large,120,0,32,0
Burger King,Frozen SURGE Medium,100,0,27,0
Burger King,Frozen SURGE Small,80,0,22,0
Burger King,HiC Fruit Punch,200,0,55,0
Burger King,Minute Maid Light Lemonade,10,0,1,0
Burger King,Peach Tea,100,0,23,0
Burger King,Sprite,190,0,51,0
Burger King,Sweet Tea,120,0,35,0
Burger King,Unsweetened Tea,0,0,0,0
Burger King,Vault,210,0,56,0
Burger King,Iced Coffee Caramel,170,7,23,0
Burger King,Iced Coffee Regular,160,7,19,0
Burger King,Iced Coffee Vanilla,180,7,24,0
Burger King,Seattles Best CoffeeDecaf,0,0,0,0
Burger King,Seattles Best CoffeeRegular,0,0,0,0
Burger King,Blue Raspberry ICEE,120,0,32,0
Burger King,Barbecue Dipping Sauce 1 oz,40,0,11,0
Burger King,Breakfast Syrup 1 oz,120,0,30,0
Burger King,Buffalo Dipping Sauce 1 oz,80,8,2,0
Burger King,Honey Mustard Dipping Sauce 1 oz,90,6,8,0
Burger King,Kens Apple Cider Vinaigrette,210,18,10,0
Burger King,Kens Lite Honey Balsamic,120,7,14,0
Burger King,Ketchup,10,0,3,0
Burger King,Mayonnaise,80,9,1,0
Burger King,Pickles 2,0,0,0,0
Burger King,Strawberry or Grape Jam packet,30,0,7,0
Burger King,SunGlow Butter blend2 pats,70,8,0,0
Burger King,Zesty Onion Ring Dipping Sauce 1 oz,150,15,3,0
Burger King,BK Fresh Apple Slices,25,0,6,0
Burger King,Motts Harvest Plus Applesauce,50,0,13,0
Burger King,Red White  Blue Cookie,160,6,23,1
Burger King,Dried Fruit Topping,90,0,23,1
Burger King,Garlic Parmesan Croutons,60,2,9,1
Burger King,Kens Avocado Ranch Dressing,170,17,4,1
Burger King,KENS Honey Mustard Dressing 2 oz,270,23,15,1
Burger King,Ranch Dipping Sauce 1 oz,140,15,1,1
Burger King,Onion Rings Value,150,8,19,1
Burger King,Frosted Frozen Coke,190,2,45,2
Burger King,Frosted Frozen Lemonade,180,2,42,2
Burger King,Minute Maid Orange Juice,140,0,33,2
Burger King,Strawberry Banana Smoothie,310,1,73,2
Burger King,Hash Browns Small,250,16,24,2
Burger King,Latte Mocha,210,4,42,2
Burger King,Butter Sugar Cookie,160,7,22,2
Burger King,Carnival Cookie,160,7,22,2
Burger King,Dutch Apple Pie,320,14,46,2
Burger King,Ginger Spice Cookie,150,5,25,2
Burger King,American Cheese slice,45,4,1,2
Burger King,Kens Citrus Caesar Dressing,180,18,4,2
Burger King,French Fries Value,240,10,34,2
Burger King,Satisfries French Fries Value,190,8,28,2
Burger King,Hot Chocolate,230,3,52,3
Burger King,Tropical Mango Smoothie,330,1,78,3
Burger King,French Toast Sticks 3 Piece,230,11,29,3
Burger King,Latte Caramel,320,6,66,3
Burger King,Latte Regular,180,6,31,3
Burger King,Latte Vanilla,320,6,67,3
Burger King,Nonfat Latte Mocha,160,0,41,3
Burger King,Chocolate Chip Cookies 2,330,15,47,3
Burger King,HERSHEYS Ice Cream Sundae Pie,300,18,31,3
Burger King,Onion Rings Small,320,16,41,3
Burger King,Hash Browns Medium,500,33,48,4
Burger King,Kids Oatmeal,170,4,32,4
Burger King,Otis Spunkmeyer Cinnamon Roll,280,11,41,4
Burger King,BK Caramel Frappe,510,22,72,4
Burger King,BK Mocha Frappe,510,22,72,4
Burger King,Oatmeal Raisin Cookies 2,310,13,46,4
Burger King,Snickers Pie,300,16,36,4
Burger King,Soft Serve Ice Cream Cone,160,4,27,4
Burger King,Soft Serve Ice Cream Cup,140,4,23,4
Burger King,Strawberry Ice Cream Sundae,190,4,35,4
Burger King,White Chocolate Macadamia Nut Cookies 2,340,18,44,4
Burger King,Thick cut bacon,70,6,0,4
Burger King,French Fries Medium,410,18,58,4
Burger King,French Fries Small,340,15,49,4
Burger King,Onion Rings Medium,410,21,53,4
Burger King,Satisfries French Fries Medium,340,14,51,4
Burger King,Satisfries French Fries Small,270,11,41,4
Burger King,Side Garden Salad and Avocado Ranch Dressing,230,21,7,5
Burger King,French Toast Sticks 5 Piece,380,18,49,5
Burger King,Hash Browns Large,670,44,65,5
Burger King,Quaker Oatmeal Maple and Brown Sugar Flavor,270,4,55,5
Burger King,Quaker Oatmeal Original,140,4,23,5
Burger King,Caramel Ice Cream Sundae,280,6,52,5
Burger King,Reeses Peanut Butter Cup Pie,310,19,31,5
Burger King,French Fries Large,500,22,72,5
Burger King,Onion Rings Large,500,25,64,5
Burger King,Satisfries French Fries Large,410,17,62,5
Burger King,Side Caesar Salad with dressing,220,20,7,6
Burger King,Cinnabon Roll,300,11,45,6
Burger King,Nonfat Latte Caramel,300,0,66,6
Burger King,Nonfat Latte Regular,150,0,31,6
Burger King,Nonfat Latte Vanilla,300,0,67,6
Burger King,Chocolate Fudge Ice Cream Sundae,280,7,50,6
Burger King,Pancakes 3 and 1 oz breakfast syrup,500,19,77,7
Burger King,BBQ Bacon Crispy Chicken Sandwich,440,27,44,7
Burger King,1 Low Fat Chocolate Milk,160,3,26,8
Burger King,Spicy Chicken Nuggets 4 Piece,210,15,11,8
Burger King,Dr Pepper Shake Small,330,10,52,8
Burger King,Rodeo Burger,310,13,38,9
Burger King,Fat Free Milk,90,0,13,9
Burger King,Irish Mint Oreo Shake Small,430,13,72,9
Burger King,Oreo Shake,570,18,93,9
Burger King,Red Velvet Oreo Shake Small,450,13,75,9
Burger King,Cheesy Tots,310,15,34,9
Burger King,Flamin Hot Mac n Cheetos,390,22,40,9
Burger King,Mac n Cheetos,310,13,37,9
Burger King,Chicken Nuggets 4 Piece,190,11,10,10
Burger King,CROISSANWICH Egg  Cheese,320,16,26,11
Burger King,Grilled Hot Dog,310,16,32,11
Burger King,Dr Pepper Shake Medium,450,13,73,11
