Restaurant_Id,Restaurant_Name
1,Burger King
2,Burger King
3,Burger King
4,Burger King
5,Burger King
6,Burger King
7,Burger King
8,Burger King
9,Burger King
10,Burger King
11,Burger King
12,Burger King
13,Burger King
14,Burger King
15,Burger King
16,Burger King
17,Burger King
18,Burger King
19,Burger King
20,Burger King
21,Burger King
22,Burger King
23,Burger King
24,Burger King
25,Burger King
26,Burger King
27,Burger King
28,Burger King
29,Burger King
30,Burger King
31,Burger King
32,Burger King
33,Burger King
34,Burger King
35,Burger King
36,Burger King
37,Burger King
38,Burger King
39,Burger King
40,Burger King
41,Burger King
42,Burger King
43,Burger King
44,Burger King
45,Burger King
46,Burger King
47,Burger King
48,Burger King
49,Burger King
50,Burger King
51,Burger King
52,Burger King
53,Burger King
54,Burger King
55,Burger King
56,Burger King
57,Burger King
58,Burger King
59,Burger King
60,Burger King
61,Burger King
62,Burger King
63,Burger King
64,Burger King
65,Burger King
66,Burger King
67,Burger King
68,Burger King
69,Burger King
70,Burger King
71,Burger King
72,Burger King
73,Burger King
74,Burger King
75,Burger King
76,Burger King
77,Burger King
78,Burger King
79,Burger King
80,Burger King
81,Burger King
82,Burger King
83,Burger King
84,Burger King
85,Burger King
86,Burger King
87,Burger King
88,Burger King
89,Burger King
90,Burger King
91,Burger King
92,Burger King
93,Burger King
94,Burger King
95,Burger King
96,Burger King
97,Burger King
98,Burger King
99,Burger King
100,Burger King
101,Burger King
102,Burger King
103,Burger King
104,Burger King
105,Burger King
106,Burger King
107,Burger King
108,Burger King
109,Burger King
110,Burger King
111,Burger King
112,Burger King
113,Burger King
114,Burger King
115,Burger King
116,Burger King
117,Burger King
118,Burger King
119,Burger King
120,Burger King
121,Burger King
122,Burger King
123,Burger King
124,Burger King
125,Burger King
126,Burger King
127,Burger King
128,Burger King
129,Burger King
130,Burger King
131,Burger King
132,Burger King
133,Burger King
134,Burger King
135,Burger King
136,Burger King
137,Burger King
138,Burger King
139,Burger King
140,Burger King
141,Burger King
142,Burger King
143,Burger King
144,Burger King
145,Burger King
146,Burger King
147,Burger King
148,Burger King
149,Burger King
150,Burger King
151,Burger King
152,Burger King
153,Burger King
154,Burger King
155,Burger King
156,Burger King
157,Burger King
158,Burger King
159,Burger King
160,Burger King
161,Burger King
162,Burger King
163,Burger King
164,Burger King
165,Burger King
166,Burger King
167,Burger King
168,Burger King
169,Burger King
170,Burger King
171,Burger King
172,Burger King
173,Burger King
174,Burger King
175,Burger King
176,Burger King
177,Burger King
178,Burger King
179,Burger King
180,Burger King
181,Burger King
182,Burger King
183,Burger King
184,Burger King
185,Burger King
186,Burger King
187,Burger King
188,Burger King
189,Burger King
190,Burger King
191,Burger King
192,Burger King
193,Burger King
194,Burger King
195,Burger King
196,Burger King
197,Burger King
198,Burger King
199,Burger King
200,Burger King
201,Burger King
202,Burger King
203,Burger King
204,Burger King
205,Burger King
206,Burger King
207,Burger King
208,Burger King
209,Burger King
210,Burger King
211,Burger King
212,Burger King
213,Burger King
214,Burger King
215,Burger King
216,Burger King
217,Burger King
218,Burger King
219,Burger King
220,Burger King
221,Burger King
222,Burger King
223,Burger King
224,Burger King
225,Burger King
226,Burger King
227,Chipotle
228,Dominos
229,Dominos
230,Dominos
231,Dominos
232,Dominos
233,Dominos
234,Dominos
235,Dominos
236,Dominos
237,Dominos
238,Dominos
239,Dominos
240,Dominos
241,Dominos
242,Dominos
243,Dominos
244,Dominos
245,Dominos
246,Dominos
247,Dominos
248,Dominos
249,Dominos
250,Dominos
251,Dominos
252,Dominos
253,Dominos
254,Dominos
255,Dominos
256,Dominos
257,Dominos
258,Dominos
259,Dominos
260,Dominos
261,Dominos
262,Dominos
263,Dominos
264,Dominos
265,Dominos
266,Dominos
267,Dominos
268,Dominos
269,Dominos
270,Dominos
271,Dominos
272,Dominos
273,Dominos
274,Dominos
275,Dominos
276,Dominos
277,Dominos
278,Dominos
279,Dominos
280,Dominos
281,Dominos
282,Dominos
283,Dominos
284,Dominos
285,Dominos
286,Dominos
287,KFC
288,KFC
289,KFC
290,KFC
291,KFC
292,KFC
293,KFC
294,KFC
295,KFC
296,KFC
297,KFC
298,KFC
299,KFC
300,KFC
301,KFC
302,KFC
303,KFC
304,KFC
305,KFC
306,KFC
307,KFC
308,KFC
309,KFC
310,KFC
311,KFC
312,KFC
313,KFC
314,KFC
315,KFC
316,KFC
317,KFC
318,KFC
319,KFC
320,KFC
321,KFC
322,KFC
323,KFC
324,KFC
325,KFC
326,KFC
327,KFC
328,KFC
329,KFC
330,KFC
331,KFC
332,KFC
333,KFC
334,KFC
335,KFC
336,KFC
337,KFC
338,KFC
339,KFC
340,KFC
341,KFC
342,KFC
343,KFC
344,KFC
345,KFC
346,KFC
347,KFC
348,KFC
349,KFC
350,KFC
351,KFC
352,KFC
353,KFC
354,KFC
355,KFC
356,KFC
357,KFC
358,KFC
359,KFC
360,KFC
361,KFC
362,KFC
363,KFC
364,KFC
365,KFC
366,KFC
367,KFC
368,KFC
369,KFC
370,KFC
371,KFC
372,KFC
373,MCD
374,MCD
375,MCD
376,MCD
377,MCD
378,MCD
379,MCD
380,MCD
381,MCD
382,MCD
383,MCD
384,MCD
385,MCD
386,MCD
387,MCD
388,MCD
389,MCD
390,MCD
391,MCD
392,MCD
393,MCD
394,MCD
395,MCD
396,MCD
397,MCD
398,MCD
399,MCD
400,MCD
401,MCD
402,MCD
403,MCD
404,MCD
405,MCD
406,MCD
407,MCD
408,MCD
409,MCD
410,MCD
411,MCD
412,MCD
